,Country or Area,Year,Value
622,Liechtenstein,2011,216.36479463717097
623,Liechtenstein,2010,229.463596988059
624,Liechtenstein,2009,244.354401142658
625,Liechtenstein,2008,259.005130633659
626,Liechtenstein,2007,239.003372143331
627,Liechtenstein,2006,268.30147493494303
628,Liechtenstein,2005,264.981006095206
629,Liechtenstein,2004,264.47482475148996
630,Liechtenstein,2003,263.811469653146
631,Liechtenstein,2002,253.55299758681198
632,Liechtenstein,2001,247.27980293517
633,Liechtenstein,2000,247.68118321001498
634,Liechtenstein,1999,257.07741205071
635,Liechtenstein,1998,260.06406212482
636,Liechtenstein,1997,249.082167562542
637,Liechtenstein,1996,236.501812799325
638,Liechtenstein,1995,234.102584444613
639,Liechtenstein,1994,230.279455537145
640,Liechtenstein,1993,243.83612726854
641,Liechtenstein,1992,236.68751756970502
642,Liechtenstein,1991,236.50281225833402
643,Liechtenstein,1990,228.993198432669
644,Lithuania,2017,20705.9432184475
645,Lithuania,2016,20510.1492387864
646,Lithuania,2015,20478.649998753997
647,Lithuania,2014,20215.203823276002
648,Lithuania,2013,20258.1734046362
649,Lithuania,2012,21502.613518202
650,Lithuania,2011,21574.9735191209
651,Lithuania,2010,21008.5851516396
652,Lithuania,2009,20152.1687989344
653,Lithuania,2008,24477.2651154862
654,Lithuania,2007,25388.9179484273
655,Lithuania,2006,23251.728961697598
656,Lithuania,2005,22965.870282459302
657,Lithuania,2004,21759.941413911398
658,Lithuania,2003,20894.8007603432
659,Lithuania,2002,20748.5233525823
660,Lithuania,2001,20359.3235953347
661,Lithuania,2000,19603.0015058939
662,Lithuania,1999,21139.4443483081
663,Lithuania,1998,23957.1263165669
664,Lithuania,1997,23011.271721418198
665,Lithuania,1996,23453.5334838375
666,Lithuania,1995,22401.2207060946
667,Lithuania,1994,23419.2586437086
668,Lithuania,1993,24882.781807534502
669,Lithuania,1992,30968.885833891803
670,Lithuania,1991,50247.1689331745
671,Lithuania,1990,48241.5065722593
672,Luxembourg,2017,10236.084411232
673,Luxembourg,2016,10051.9553539786
674,Luxembourg,2015,10294.9394951702
675,Luxembourg,2014,10786.880254400601
676,Luxembourg,2013,11238.6131640197
677,Luxembourg,2012,11781.2983566946
678,Luxembourg,2011,12061.974450616799
679,Luxembourg,2010,12180.077917468201
680,Luxembourg,2009,11607.67339497
681,Luxembourg,2008,12153.8820915163
682,Luxembourg,2007,12267.3276676162
683,Luxembourg,2006,12852.4530245154
684,Luxembourg,2005,13024.7639650513
685,Luxembourg,2004,12783.080532211101
686,Luxembourg,2003,11380.8373647433
687,Luxembourg,2002,10941.8894966386
688,Luxembourg,2001,10165.428531839301
689,Luxembourg,2000,9678.13891799322
690,Luxembourg,1999,9092.591027257
691,Luxembourg,1998,8626.679837838841
692,Luxembourg,1997,9504.70675522301
693,Luxembourg,1996,10154.5562847868
694,Luxembourg,1995,10093.178059854
695,Luxembourg,1994,12466.209691271399
696,Luxembourg,1993,13287.4743506122
697,Luxembourg,1992,13132.8517224072
698,Luxembourg,1991,13404.0903712896
699,Luxembourg,1990,12756.375913246202
700,Malta,2017,2151.5891081568802
701,Malta,2016,1895.6846694250303
702,Malta,2015,2188.16204185612
703,Malta,2014,2874.92893865331
704,Malta,2013,2860.03687491211
705,Malta,2012,3187.39606442745
706,Malta,2011,2997.46466396065
707,Malta,2010,2909.94412682855
708,Malta,2009,2878.39627798685
709,Malta,2008,3074.29707163427
710,Malta,2007,3066.1121547051503
711,Malta,2006,2962.97436980435
712,Malta,2005,2909.61786993252
713,Malta,2004,2829.6420169174103
714,Malta,2003,2894.69065934597
715,Malta,2002,2679.96566713589
716,Malta,2001,2676.36276199923
717,Malta,2000,2767.67699232784
718,Malta,1999,2754.65334453589
719,Malta,1998,2704.08641678154
720,Malta,1997,2691.95886289037
721,Malta,1996,2638.3341604204898
722,Malta,1995,2675.86728045764
723,Malta,1994,2676.4896043081
724,Malta,1993,2503.4763908989603
725,Malta,1992,2483.01044820659
726,Malta,1991,2280.2573683776
727,Malta,1990,2103.17534475521
728,Monaco,2017,86.8513427497772
729,Monaco,2016,87.89440248207409
730,Monaco,2015,89.0613616075436
731,Monaco,2014,84.1265472191791
732,Monaco,2013,90.3065120540975
733,Monaco,2012,88.5563427027547
734,Monaco,2011,85.7558238396902
735,Monaco,2010,87.6871016044618
736,Monaco,2009,87.80397028497829
737,Monaco,2008,92.9907513446508
738,Monaco,2007,94.9659708348048
739,Monaco,2006,92.00094620050601
740,Monaco,2005,98.9822413602848
741,Monaco,2004,100.03461944247101
742,Monaco,2003,104.371631985734
743,Monaco,2002,106.590412940446
744,Monaco,2001,106.512598077579
745,Monaco,2000,108.78009694199899
746,Monaco,1999,107.704072538934
747,Monaco,1998,106.168128107491
748,Monaco,1997,106.82875371435499
749,Monaco,1996,109.046743949104
750,Monaco,1995,104.644027666684
751,Monaco,1994,108.03830595101499
752,Monaco,1993,107.25497458658701
753,Monaco,1992,108.22585865075001
754,Monaco,1991,102.51414158759
755,Monaco,1990,101.593656524966
756,Netherlands,2017,193259.921882615
757,Netherlands,2016,195384.31637083602
758,Netherlands,2015,195560.41390453398
759,Netherlands,2014,187281.88112295
760,Netherlands,2013,194953.949235893
761,Netherlands,2012,195346.94278381602
762,Netherlands,2011,199235.363681044
763,Netherlands,2010,213363.025584435
764,Netherlands,2009,201412.673213917
765,Netherlands,2008,207095.00260034602
766,Netherlands,2007,207700.18187292898
767,Netherlands,2006,209233.95176172
768,Netherlands,2005,214308.461315688
